YearsExperience,Education,Age,Salary
13.9,Graduate,42,145136
3.1,Postgraduate,24,70838
6.9,Graduate,32,90196
1.0,PhD,30,65988
18.7,PhD,45,231716
4.0,Postgraduate,33,80245
18.4,Postgraduate,41,207059
1.4,Postgraduate,25,50564
11.9,PhD,38,164980
1.4,Graduate,22,39795
12.7,PhD,39,172446
1.6,Graduate,30,40111
9.9,Graduate,30,111972
6.7,Graduate,27,81411
14.4,Graduate,36,156763
0.9,Graduate,27,30110
8.8,Graduate,37,100101
3.2,Graduate,25,52824
17.3,PhD,43,218144
18.0,PhD,40,223775
10.8,Graduate,33,118176
8.2,Postgraduate,29,109046
15.9,Graduate,42,163688
13.5,Graduate,38,149402
5.6,PhD,29,105807
3.6,Postgraduate,26,73298
16.4,Graduate,42,170404
17.9,Postgraduate,45,203688
14.3,PhD,42,189421
2.5,Graduate,27,51779
10.3,PhD,39,155271
8.1,Graduate,30,98912
10.0,Graduate,36,117646
14.8,Graduate,42,159266
3.4,Postgraduate,30,66558
16.9,Graduate,39,181875
1.9,PhD,28,78667
12.3,Graduate,41,136578
9.7,Postgraduate,34,129143
4.6,Postgraduate,25,82287
8.4,Graduate,35,102579
7.9,Graduate,30,94537
9.6,Graduate,30,112821
16.3,Graduate,38,168731
17.8,Postgraduate,41,203013
4.1,PhD,33,95252
4.6,Postgraduate,27,77326
7.3,Graduate,35,89614
8.1,PhD,34,137172
10.8,PhD,35,160638
3.5,Graduate,30,53056
11.4,Postgraduate,32,141990
15.6,PhD,40,204795
15.3,PhD,36,196340
10.2,PhD,35,153808
18.4,PhD,46,228895
17.6,Graduate,42,181692
11.7,Postgraduate,37,148000
11.4,Graduate,34,125721
11.5,Graduate,33,129915
0.4,Graduate,21,32028
11.0,Postgraduate,34,134984
9.1,PhD,37,139103
12.1,Postgraduate,39,148529
16.3,Postgraduate,37,190762
4.4,Postgraduate,28,75387
7.7,Graduate,32,97306
18.4,Postgraduate,40,209992
6.4,Postgraduate,32,96308
6.6,Postgraduate,27,95666
2.8,Graduate,30,53008
17.3,Postgraduate,45,199901
3.1,Postgraduate,28,63950
4.6,Graduate,31,63764
7.2,PhD,28,121684
3.2,Postgraduate,29,73381
11.0,PhD,32,156111
